,officename,pincode,Districtname,longitude,latitude
332,Huzurabad H.O,505468,Karim Nagar,79.3916,18.2154
333,Kolanur S.O,505162,Karim Nagar,79.4141,18.5212
334,Peddapalli H.O,505172,Karim Nagar,79.3916,18.6606
335,Vittalanagar S.O,505214,Karim Nagar,79.5322,18.7096
336,A.I.E. R.C.puram S.O,502032,Medak,78.3001,17.5091
337,Abbenda B.O,502286,Medak,77.6765,18.0541
338,Aie Bollaram S.O,502325,Medak,78.3505,17.5513
339,Ajjamarry B.O,502314,Medak,78.1336,17.8497
340,Aksanpally B.O,502270,Medak,78.0424,17.8441
341,Algole B.O,502318,Medak,77.6364,17.6964
342,Alladurg S.O,502269,Medak,77.9053,17.8822
343,Almaipet B.O,502273,Medak,78.0766,17.7414
344,Ananthavaram B.O,502345,Medak,77.8596,17.7396
345,Ananthsagar B.O,502306,Medak,78.0081,17.5741
346,Annaram B.O,502313,Medak,78.3159,17.7209
347,Anthargaon B.O,502287,Medak,77.7223,18.1502
348,Atmakur B.O,502291,Medak,77.95100000000001,17.6521
349,Bachepally B.O,502371,Medak,77.8596,18.1124
350,Baswapur B.O,502293,Medak,77.9853,17.7357
351,Bdl Bhanur S.O,502305,Medak,78.1621,17.4845
352,Bilalpur B.O,502210,Medak,77.688,17.5776
353,Bodupatla B.O,502296,Medak,78.1792,17.6661
354,Borancha B.O,502290,Medak,77.8253,17.9354
355,Buchnelly B.O,502228,Medak,77.5791,17.7161
356,Chalki B.O,502256,Medak,77.688,17.8801
357,Charakpally S.O,502221,Medak,77.4931,17.6699
358,Cheelapalli B.O,502271,Medak,77.9167,18.0344
359,Cheriyal B.O,502285,Medak,78.0994,17.5564
360,Chetlapotharam B.O,502319,Medak,78.3026,17.6011
361,Chilkepally B.O,502321,Medak,77.7223,17.6844
362,Chitkul B.O,502307,Medak,78.2127,17.5467
363,Dappur B.O,502251,Medak,77.6192,17.8524
364,Elmela B.O,502300,Medak,78.2201,17.4973
365,Fasalwadi B.O,502294,Medak,78.0709,17.642
366,Gollapalli B.O,502295,Medak,78.031,17.529
367,Guntamarpally B.O,502246,Medak,77.688,17.7637
368,Hasnabad B.O,502257,Medak,77.7681,17.827
369,Icrisat S.O,502324,Medak,78.2564,17.5225
370,Indrakaran B.O,502329,Medak,78.145,17.5359
371,Kalbemal B.O,502249,Medak,77.5734,17.7797
372,Kanchanpally B.O,502316,Medak,78.2362,17.8677
373,O.F.Yeddumailaram S.O,502205,Medak,78.1393,17.4948
374,Rajampet Colony S.O,502001,Medak,78.0852,17.6167
375,Zaheerabad H.O,502220,Medak,77.5849,17.5827
376,Adavdevulapally B.O,508208,Nalgonda,79.4605,16.6717
377,Adloor B.O,508210,Nalgonda,79.4029,17.3158
378,Agamothkur B.O,508374,Nalgonda,79.5379,17.0429
379,Aipur B.O,508221,Nalgonda,79.7176,17.3323
380,Aitipamula B.O,508205,Nalgonda,79.3128,17.171
381,Akupamula B.O,508233,Nalgonda,79.8073,17.0567
382,Amaravaram B.O,508204,Nalgonda,79.8969,16.8278
383,Ameenabad B.O,508206,Nalgonda,79.9752,17.0067
384,Anajpur B.O,508213,Nalgonda,79.6951,17.0743
385,Annaram B.O,508278,Nalgonda,79.3578,16.8471
386,Annaram B.O,508280,Nalgonda,79.6278,17.4211
387,Annariguda B.O,508212,Nalgonda,79.8073,17.1967
388,Arvapalli S.O,508224,Nalgonda,79.5716,17.2897
389,Balemula B.O,508376,Nalgonda,79.5828,17.1852
390,Bandakothapally B.O,508223,Nalgonda,79.4366,17.4694
391,Bandapalem B.O,508211,Nalgonda,79.4479,17.1782
392,Bodaladinne B.O,508218,Nalgonda,79.6727,16.9099
393,Borraipalem B.O,508355,Nalgonda,79.6278,16.7678
394,Chetlachennaram B.O,508247,Nalgonda,79.4029,17.0359
395,Chintalapalem B.O,508246,Nalgonda,79.9864,16.7389
396,D Kothapally B.O,508279,Nalgonda,79.4929,17.414
397,Gaddipally B.O,508201,Nalgonda,79.7624,16.9144
398,Ganapavaram B.O,508238,Nalgonda,79.9417,16.9233
399,Kagitaramachandrapuram B.O,508234,Nalgonda,79.8857,17.119
400,Kukkadam B.O,508217,Nalgonda,79.5379,16.9496
401,Miryalguda H.O,508207,Nalgonda,79.5154,16.6922
402,Achampet S.O,509375,Mahabub Nagar,78.7249,16.4414
403,Agrial B.O,509207,Mahabub Nagar,78.0424,17.0994
404,Aithole B.O,509209,Mahabub Nagar,78.3615,16.5606
405,Ajilapuram B.O,509360,Mahabub Nagar,78.5774,16.7933
406,Ajjakole B.O,509110,Mahabub Nagar,77.8596,16.4391
407,Akuthotapally B.O,509321,Mahabub Nagar,78.5888,16.8521
408,Aleru B.O,509412,Mahabub Nagar,78.3615,16.2824
409,Alwal B.O,509408,Mahabub Nagar,78.3615,16.9786
410,Amadabakula B.O,509381,Mahabub Nagar,77.95100000000001,16.3518
411,Ambatpally B.O,509401,Mahabub Nagar,78.5434,16.2924
412,Ameerpet B.O,509325,K.V.Rangareddy,78.3273,17.151
413,Ammayapally B.O,509104,Mahabub Nagar,77.9967,16.1231
414,Amrabad S.O,509201,Mahabub Nagar,78.9741,16.3851
415,Annaram B.O,509202,Mahabub Nagar,78.1336,16.9189
416,Antharam B.O,509357,Mahabub Nagar,78.3159,16.7901
417,Appajipally B.O,509406,Mahabub Nagar,78.2362,16.6347
418,Appareddipally B.O,509327,Mahabub Nagar,78.6796,16.9036
419,Avancha B.O,509302,Mahabub Nagar,78.2924,16.6719
420,Ayyavaripally B.O,509105,Mahabub Nagar,78.2248,16.0896
421,Balanpally B.O,509215,Mahabub Nagar,78.2818,16.5445
422,Bijnapally S.O,509203,Mahabub Nagar,78.1792,16.5503
423,Buddaram B.O,509206,Mahabub Nagar,78.1792,16.3185
424,Busireddypally B.O,509120,Mahabub Nagar,78.1336,16.2234
425,Charakonda B.O,509324,Mahabub Nagar,78.6342,16.7151
426,Chatanpally B.O,509216,Mahabub Nagar,78.2362,17.0295
427,Chinchod B.O,509410,Mahabub Nagar,78.1336,17.0583
428,D.Chintalapally B.O,509349,Mahabub Nagar,78.5434,16.5708
429,Ekvaipally B.O,509358,Mahabub Nagar,78.5093,16.9522
430,Gaddampally B.O,509385,Mahabub Nagar,78.4525,16.4265
431,Gandhichowk,509106,Mahabub Nagar,77.9909,16.4062
432,Gandhichowk S.O (Mahabub Nagar),509103,Mahabub Nagar,78.0424,16.3571
433,Gattuippalapally B.O,509320,Mahabub Nagar,78.407,16.656
434,Gudipally B.O,509235,Mahabub Nagar,78.3159,16.4189
435,Hythabad B.O,509217,K.V.Rangareddy,78.1792,17.2005
